Tool,Bin,H,Offset,D,Diameter,Coolant,Spindle,Speed,Description
T001,-1,H001,0,D002,4,OFF,OFF,0,"Probe"
T002,-1,H001,0,D004,2,OFF,CW,3500,"4mm 2f end mill"
T003,-1,H003,0,D006,0,OFF,CW,2500,"6mm 2f end mill"
T004,-1,H004,-52.016,D010,0,OFF,CW,2000,"10mm 2f end mill"
T005,-1,H005,-46.9511,D012,4,OFF,CW,1500,"12mm 2f end mill"
T006,-1,H006,0,D004,2,OFF,CW,2500,"4mm 4f end mill"
T007,-1,H007,0,D006,0,OFF,CW,2000,"6mm 4f end mill"
T008,-1,H008,-54.2615,D010,0,OFF,CW,1500,"10mm 4f end mill"
T009,-1,H009,-26.3835,D010,0,OFF,CW,1500,"10mm 4f em long"
T010,-1,H010,0,D004,2,OFF,CW,2500,"4mm 90d chamfer mil"
T011,-1,H011,-51.7231,D006,0,OFF,CW,2000,"6mm 90d chamfer mil"
T012,-1,H012,-55.4649,D005,12,OFF,CW,2500,"4mm 2f r2 round"
T013,-1,H013,-55.9983,D008,10,OFF,OFF,2000,"8mm 2f r4.0 round"
T014,-1,H014,-37.3007,D006,0,OFF,OFF,1750,"6mm 4f rough"
T015,-1,H015,-62.6959,D006,0,OFF,OFF,1250,"5mm 4f end mill"
T016,-1,H016,-46.359,D012,4,OFF,OFF,3000,"12mm 4f end mill"
T017,-1,H017,-47.4004,D006,0,OFF,OFF,2500,"6mm 3f 631 long"
T018,-1,H018,0,D008,10,OFF,OFF,1750,"8mm 3f end mill"
T019,-1,H019,0,D012,4,OFF,OFF,1250,"12mm 3f end mill"
T020,-1,H020,35.0496,D020,3.3,OFF,OFF,0,"drill-chuck"
T021,-1,H021,-42.6299,D047,0,OFF,OFF,1000,"47mm facing mill"
T022,-1,H022,-24.4808,D010,0,OFF,OFF,0,"10mm roughing mill"
T023,-1,H023,-24.6801,D022,10,OFF,OFF,2000,"22mm 5f flat end mi"
T024,-1,H024,0,D024,0,OFF,OFF,0,"                   "
T025,-1,H025,0,D025,0,OFF,OFF,0,"                   "
T026,-1,H026,0,D026,0,OFF,OFF,0,"                   "
T027,-1,H027,0,D027,0,OFF,OFF,0,"                   "
T028,-1,H028,0,D028,0,OFF,OFF,0,"                   "
T029,-1,H029,0,D029,0,OFF,OFF,0,"                   "
T030,-1,H030,0,D030,0,OFF,OFF,0,"                   "
T031,-1,H031,0,D031,0,OFF,OFF,0,"                   "
T032,-1,H032,0,D032,0,OFF,OFF,0,"                   "
T033,-1,H033,0,D033,0,OFF,OFF,0,"                   "
T034,-1,H034,0,D034,0,OFF,OFF,0,"                   "
T035,-1,H035,0,D035,0,OFF,OFF,0,"                   "
T036,-1,H036,0,D036,0,OFF,OFF,0,"                   "
T037,-1,H037,0,D037,0,OFF,OFF,0,"                   "
T038,-1,H038,0,D038,0,OFF,OFF,0,"                   "
T039,-1,H039,0,D039,0,OFF,OFF,0,"                   "
T040,-1,H040,0,D040,0,OFF,OFF,0,"                   "
T041,-1,H041,0,D041,0,OFF,OFF,0,"                   "
T042,-1,H042,0,D042,0,OFF,OFF,0,"                   "
T043,-1,H043,0,D043,0,OFF,OFF,0,"                   "
T044,-1,H044,0,D044,0,OFF,OFF,0,"                   "
T045,-1,H045,0,D045,0,OFF,OFF,0,"                   "
T046,-1,H046,0,D046,0,OFF,OFF,0,"                   "
T047,-1,H047,0,D047,0,OFF,OFF,0,"                   "
T048,-1,H048,0,D048,0,OFF,OFF,0,"                   "
T049,-1,H049,0,D049,0,OFF,OFF,0,"                   "
T050,-1,H050,0,D050,0,OFF,OFF,0,"                   "
T051,-1,H051,0,D051,0,OFF,OFF,0,"                   "
T052,-1,H052,0,D052,0,OFF,OFF,0,"                   "
T053,-1,H053,0,D053,0,OFF,OFF,0,"                   "
T054,-1,H054,0,D054,0,OFF,OFF,0,"                   "
T055,-1,H055,0,D055,0,OFF,OFF,0,"                   "
T056,-1,H056,0,D056,0,OFF,OFF,0,"                   "
T057,-1,H057,0,D057,0,OFF,OFF,0,"                   "
T058,-1,H058,0,D058,0,OFF,OFF,0,"                   "
T059,-1,H059,0,D059,0,OFF,OFF,0,"                   "
T060,-1,H060,0,D060,0,OFF,OFF,0,"                   "
T061,-1,H061,0,D061,0,OFF,OFF,0,"                   "
T062,-1,H062,0,D062,0,OFF,OFF,0,"                   "
T063,-1,H063,0,D063,0,OFF,OFF,0,"                   "
T064,-1,H064,0,D064,0,OFF,OFF,0,"                   "
T065,-1,H065,0,D065,0,OFF,OFF,0,"                   "
T066,-1,H066,0,D066,0,OFF,OFF,0,"                   "
T067,-1,H067,0,D067,0,OFF,OFF,0,"                   "
T068,-1,H068,0,D068,0,OFF,OFF,0,"                   "
T069,-1,H069,0,D069,0,OFF,OFF,0,"                   "
T070,-1,H070,0,D070,0,OFF,OFF,0,"                   "
T071,-1,H071,0,D071,0,OFF,OFF,0,"                   "
T072,-1,H072,0,D072,0,OFF,OFF,0,"                   "
T073,-1,H073,0,D073,0,OFF,OFF,0,"                   "
T074,-1,H074,0,D074,0,OFF,OFF,0,"                   "
T075,-1,H075,0,D075,0,OFF,OFF,0,"                   "
T076,-1,H076,0,D076,0,OFF,OFF,0,"                   "
T077,-1,H077,0,D077,0,OFF,OFF,0,"                   "
T078,-1,H078,0,D078,0,OFF,OFF,0,"                   "
T079,-1,H079,0,D079,0,OFF,CW,1200,"Drill"
T080,-1,H080,0,D080,0,OFF,OFF,0,"                   "
T081,-1,H081,0,D081,0,OFF,OFF,0,"                   "
T082,-1,H082,0,D082,0,OFF,OFF,0,"                   "
T083,-1,H083,0,D083,0,OFF,OFF,0,"                   "
T084,-1,H084,0,D084,0,OFF,OFF,0,"                   "
T085,-1,H085,0,D085,0,OFF,OFF,0,"                   "
T086,-1,H086,0,D086,0,OFF,OFF,0,"                   "
T087,-1,H087,0,D087,0,OFF,OFF,0,"                   "
T088,-1,H088,0,D088,0,OFF,OFF,0,"                   "
T089,-1,H089,0,D089,0,OFF,OFF,0,"                   "
T090,-1,H090,0,D090,0,OFF,OFF,0,"                   "
T091,-1,H091,0,D091,0,OFF,OFF,0,"                   "
T092,-1,H092,0,D092,0,OFF,OFF,0,"                   "
T093,-1,H093,0,D093,0,OFF,OFF,0,"                   "
T094,-1,H094,0,D094,0,OFF,OFF,0,"                   "
T095,-1,H095,0,D095,0,OFF,OFF,0,"                   "
T096,-1,H096,0,D096,0,OFF,OFF,0,"                   "
T097,-1,H097,0,D097,0,OFF,OFF,0,"                   "
T098,-1,H098,0,D098,0,OFF,OFF,0,"                   "
T099,-1,H099,0,D099,0,OFF,OFF,0,"                   "
T100,-1,H100,0,D100,0,OFF,OFF,0,"                   "
T101,-1,H101,0,D101,0,OFF,OFF,0,"                   "
T102,-1,H102,0,D102,0,OFF,OFF,0,"                   "
T103,-1,H103,0,D103,0,OFF,OFF,0,"                   "
T104,-1,H104,0,D104,0,OFF,OFF,0,"                   "
T105,-1,H105,0,D105,0,OFF,OFF,0,"                   "
T106,-1,H106,0,D106,0,OFF,OFF,0,"                   "
T107,-1,H107,0,D107,0,OFF,OFF,0,"                   "
